title,price,rating,reviews,availability
PlayStation®5 console (slim) with EA SPORTS College Football 25, ,4.9 out of 5 stars,22 ratings,In Stock
PlayStation 5 Digital Edition - CFI-1102B, ,4.6 out of 5 stars,840 ratings,Only 5 left in stock - order soon.
EA SPORTS College Football 25 - PlayStation 5, ,4.6 out of 5 stars,741 ratings,In Stock
$150 PlayStation Store Gift Card [Digital Code], ,4.3 out of 5 stars,"252,584 ratings",Available now
Madden NFL 25 - PlayStation 5, ,4.7 out of 5 stars,157 ratings,In Stock
"Seagate Game Drive for PS5 5TB External HDD - USB 3.0, Officially Licensed, Blue LED (STLV5000100)", ,4.3 out of 5 stars,"23,841 ratings",In Stock
$250 PlayStation Store Gift Card [Digital Code], ,4.7 out of 5 stars,"252,584 ratings",Available now
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black", ,4.3 out of 5 stars,"19,346 ratings",Not Available
"PS5 Controller Charger Station Compatible with PlayStation 5 Faceplates Edge & Dual Controller, PS5 Accessories Charging Station, PS5 Charging Dock Stand with LED Indicators & Charging Cable", ,4.5 out of 5 stars,"1,095 ratings",In Stock
Metal Gear Solid: Master Collection Vol.1 (PS5), ,4.7 out of 5 stars,869 ratings,In Stock
PlayStation Pulse Elite Wireless Headset, ,4.0 out of 5 stars,"1,057 ratings",Only 2 left in stock - order soon.
"Gaming Console Backpack for PS5 Slim, Travel Carry Case Bag for Playstation 5 Slim Console, Storage Backpack Compatible for PS5 Slim Disc & Digital Edition, Controllers, Game Cards & Accessories, Grey", ,4.4 out of 5 stars,3 ratings,In Stock
"PS5 / PS5 Slim Stand and Cooling Station with Dual Controller Charging Station for PlayStation 5 Console, PS5 Accessories Incl. Controller Charger, Cooling Fan, Headset Holder, 3 USB Hub, Screw-White", ,4.3 out of 5 stars,"8,231 ratings",In Stock
EA SPORTS FC 25 - PlayStation 5, ,4.3 out of 5 stars,22 ratings,In Stock
"WD_BLACK 2TB SN850P NVMe M.2 SSD Officially Licensed Storage Expansion for PS5 Consoles, up to 7,300MB/s, with heatsink - WDBBYV0020BNC-WRSN", ,4.6 out of 5 stars,"4,913 ratings",In Stock
NBA 2K25 - PlayStation 5, ,4.5 out of 5 stars,74 ratings,In Stock
Metaphor: ReFantazio Launch Edition - PlayStation 5, ,4.7 out of 5 stars,20 ratings,In Stock
"Wireless Gaming Headset with Noise Canceling Microphone for PS5, PC, PS4, 2.4G/Bluetooth Gaming Headphones with USB and Type-c Connector, Wired Mode for Controller", ,4.4 out of 5 stars,"1,373 ratings",In Stock
"Seagate Game Drive for PS5 5TB External HDD - USB 3.0, Officially Licensed, Blue LED (STLV5000100)", ,4.7 out of 5 stars,"23,841 ratings",In Stock
"NexiGo PS5 Slient Cooling Stand with RGB LED Light, Dual Charging Station Compatible with DualSense Edge Controller, Hard Drive Slot, Headset and Remote Holders, 10 Game Slots, White", ,4.4 out of 5 stars,"1,329 ratings",In Stock
"NexiGo PS5 / PS5 Slim Stand, Silent Cooling, Dual Controllers Charger for Playstation 5 Console, 3 Level Adjustable Fan Speed, PS5 / PS5 Slim Accessories, Headset and Remote Holder, White", ,4.5 out of 5 stars,"4,869 ratings",In Stock
"NexiGo PS5 Accessories Horizontal Stand, [Minimalist Design], PS5 Base Stand, Compatible with Playstation 5 Disc & Digital Editions, White", ,4.3 out of 5 stars,"4,594 ratings",In Stock
"NexiGo PS5 Accessories Cooling Stand with LED Lighting Fans and Dual Controller Charger Station for PlayStation 5 Console, Upgraded Multifunctional Stand with Charging Dock, 10 Game Slots, White", ,4.6 out of 5 stars,"1,643 ratings",In Stock
"C24 Ultra 5G Smartphone 6+256GB Unlocked Phone,48+108MP Zoom Camera，6800mAh 6.8"" HD Screen Unlocked Cell PhoneAndroid 13.0,Face ID/Fingerprint Lock/GPS Phone,Built-in Pen(Gray)", ,5.0 out of 5 stars,8 ratings,Only 13 left in stock - order soon.
"PDP Phantom Air Dual-Mode Wireless Headset: White - PlayStation 5, PlayStation 4, & Windows 10/11 PC", ,4.3 out of 5 stars, ,"This item will be released on November 7, 2024."
TESSGO PS 5 Disc Edition Matte Black Face Plate Cover Shell Skin Case for Play Station 5 Console, ,4.5 out of 5 stars,253 ratings,In Stock
